"index","url","status"
"59","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/147-proyectos-de-investigacion-internos/556-pii-16-01","CAPTURED"
"60","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/147-proyectos-de-investigacion-internos/557-pii-16-02","CAPTURED"
"61","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/147-proyectos-de-investigacion-internos/558-pii-16-03","CAPTURED"
"62","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/147-proyectos-de-investigacion-internos/559-pii-16-04","CAPTURED"
"63","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/147-proyectos-de-investigacion-internos/560-pii-16-06","CAPTURED"
"64","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/147-proyectos-de-investigacion-internos/561-pii-16-07","CAPTURED"
"65","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/147-proyectos-de-investigacion-internos/788-piif-22-03","CAPTURED"
"66","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/554-pii-dicc-01-2018","CAPTURED"
"67","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/555-pii-dicc-02-2018","CAPTURED"
"68","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/562-pii-dicc-003-2016","CAPTURED"
"69","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/564-pii-dicc-02-2017","CAPTURED"
"70","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/565-pii-dicc-03-2017","CAPTURED"
"71","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/684-pii-dicc-01-2017","CAPTURED"
"72","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/777-pii-dicc-2023-04","CAPTURED"
"73","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/778-pii-dicc-2022-02","CAPTURED"
"74","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/783-pii-dicc-2023-02","CAPTURED"
"75","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/784-pii-dicc-2023-05","CAPTURED"
"76","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/786-pii-dicc-2023-03","CAPTURED"
"77","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/787-pii-dicc-2023-01","CAPTURED"
"78","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-vinculacion-y-proyeccion-social","CAPTURED"
"79","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-vinculacion-y-proyeccion-social/120-vinculacion/571-pvs-2018-021","CAPTURED"
"80","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-vinculacion-y-proyeccion-social/120-vinculacion/572-pvs-2018-022","CAPTURED"
"81","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-vinculacion-y-proyeccion-social/136-proyectos-de-vinculacion-y-proyeccion-social/570-pvs-2018-013","CAPTURED"
"82","https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-vinculacion-y-proyeccion-social/136-proyectos-de-vinculacion-y-proyeccion-social/782-pvi-dicc-2023-02","CAPTURED"
"83","https://fis.epn.edu.ec/index.php/es/la-facultad/estructura-organica","CAPTURED"
"84","https://fis.epn.edu.ec/index.php/es/la-facultad/gestion-de-transferencia-tecnologica","CAPTURED"
"85","https://fis.epn.edu.ec/index.php/es/la-facultad/gestion-de-transferencia-tecnologica/centro-de-medios","CAPTURED"
"86","https://fis.epn.edu.ec/index.php/es/la-facultad/laboratorios","CAPTURED"
"87","https://fis.epn.edu.ec/index.php/es/la-facultad/laboratorios-de-investigacion","CAPTURED"
"88","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes","CAPTURED"
"89","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/159-montenegro-armas-carlos-estalesmit","EMPTY_404"
"90","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/180-ordonez-calero-hernan-david","CAPTURED"
"91","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/182-hallo-carrasco-maria-asuncion","EMPTY_404"
"92","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/189-aguiar-pontes-josafa-de-jesus","CAPTURED"
"93","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/196-torres-olmedo-jenny-gabriela","CAPTURED"
"94","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/198-carrion-toro-mayra-del-cisne","CAPTURED"
"95","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/201-loza-aguirre-edison-fernando","EMPTY_404"
"96","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/203-santorum-gaibor-marco-oswaldo","CAPTURED"
"97","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/204-calle-jimenez-tania-elizabeth","CAPTURED"
"98","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/205-penafiel-aguilar-myriam-guadalupe","CAPTURED"
"99","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/206-sanchez-gordon-sandra-patricia","CAPTURED"
"100","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/207-tenemaza-vera-regina-maritzol","EMPTY_404"
"101","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/209-perez-hernandez-maria-gabriela","CAPTURED"
"102","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/217-flores-naranjo-pamela-catherine","CAPTURED"
"103","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/224-barriga-andrade-jhonattan-javier","CAPTURED"
"104","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/225-yoo-park-sang-guun","CAPTURED"
"105","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/234-navarrete-rueda-rosa-del-carmen","CAPTURED"
"106","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/245-carrera-izurieta-ivan-marcelo","CAPTURED"
"107","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/255-mafla-gallegos-luis-enrique","CAPTURED"
"108","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/265-egueez-sarzosa-vicente-adrian","CAPTURED"
"109","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/355-recalde-cerda-lorena-katherine","CAPTURED"
"110","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/380-martinez-mosquera-silvia-diana","CAPTURED"
"111","https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/385-villarroel-ramos-jorge-patricio","EMPTY_404"
"112","https://fis.epn.edu.ec/index.php/es/maestrias/doctorado-en-informatica","CAPTURED"
"113","https://fis.epn.edu.ec/index.php/es/maestrias/maestria-en-ciberseguridad","CAPTURED"
"114","https://fis.epn.edu.ec/index.php/es/maestrias/maestria-en-inteligencia-artificial-art","CAPTURED"
"115","https://fis.epn.edu.ec/index.php/es/maestrias/maestria-en-tecnologia-e-innovacion-educativa","CAPTURED"
"116","https://fis.epn.edu.ec/index.php/es/oferta-academicafis/ciencia-de-datos-e-inteligencia-artificial","CAPTURED"
"117","https://fis.epn.edu.ec/index.php/es/oferta-academicafis/computacion","CAPTURED"
"118","https://fis.epn.edu.ec/index.php/es/oferta-academicafis/sistemas-de-informacion","CAPTURED"
"119","https://fis.epn.edu.ec/index.php/es/oferta-academicafis/software","CAPTURED"
"120","https://fis.epn.edu.ec/index.php/es/you-will-love-our-school","CAPTURED"
