carpeta	url	screenshots
052_category_list	https://fis.epn.edu.ec/index.php/es/category-list?start=30	1
053_docente	https://fis.epn.edu.ec/index.php/es/docente	6
054_estudiante	https://fis.epn.edu.ec/index.php/es/estudiante	6
055_lineas_prioritarias_de_investigacion	https://fis.epn.edu.ec/index.php/es/investigacion/lineas-de-investigacion	1
056_departamento_de_informatica_y_ciencias_de_la_computacion	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion	1
057_grupos_de_investigacion	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/grupos-de-investigacion	1
058_lineas_prioritarias_de_investigacion	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/lineas-prioritarias-de-investigacion	1
059_planta_docente	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/planta-docente	1
060_proyectos_de_investigacion	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion	6
061_uso_de_microdatos_para_mejorar_los_resultados_de_busqueda_de_recurso	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/147-proyectos-de-investigacion-internos/556-pii-16-01	1
062_diseno_de_una_arquitectura_de_un_servidor_de_mapas_geograficos_acces	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/147-proyectos-de-investigacion-internos/557-pii-16-02	1
063_uso_de_metodos_de_mineria_de_datos_educativos_para_e_learning	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/147-proyectos-de-investigacion-internos/558-pii-16-03	1
064_aceptabilidad_de_la_a2r	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/147-proyectos-de-investigacion-internos/559-pii-16-04	1
065_sistema_de_recomendacion_para_revistas_cientificas_abiertas_utilizan	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/147-proyectos-de-investigacion-internos/560-pii-16-06	1
066_identificacion_de_factores_que_influyen_en_la_productividad_del_desa	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/147-proyectos-de-investigacion-internos/561-pii-16-07	1
067_creacion_de_un_sistema_de_recomendacion_hibrido_para_descubrimiento	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/147-proyectos-de-investigacion-internos/788-piif-22-03	1
068_generar_el_log_de_eventos_sismicos_y_vulcanologicos_aplicando_tecnic	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/554-pii-dicc-01-2018	1
069_propuesta_de_mejora_de_la_calidad_del_proceso_de_implementacion_de_p	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/555-pii-dicc-02-2018	1
070_desarrollo_de_patrones_de_software_para_la_implementacion_de_mooc_s	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/562-pii-dicc-003-2016	1
071_desarrollo_y_evaluacion_del_desempeno_de_un_metodo_computacional_par	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/564-pii-dicc-02-2017	1
072_elaboracion_de_un_perfil_de_criterios_para_la_creacion_de_una_metodo	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/565-pii-dicc-03-2017	1
073_deteccion_de_las_inhalaciones_en_la_senal_acustica_del_habla_en_el_i	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/684-pii-dicc-01-2017	1
074_diseno_de_un_modelo_de_recomendacion_de_topicos_para_grupos_de_inves	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/777-pii-dicc-2023-04	1
075_sistema_de_monitoreo_de_niveles_de_rayos_ultravioleta_del_sol_basado	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/778-pii-dicc-2022-02	1
